From	Entry
9606.ENSP00000304915	P35225
9606.ENSP00000318486	Q15078
9606.ENSP00000227155	P27701
9606.ENSP00000295767	Q8N4Q1
9606.ENSP00000393183	Q9Y4B6
9606.ENSP00000376188	O75462
9606.ENSP00000295797	P41743
9606.ENSP00000357012	Q9BZW8
9606.ENSP00000359230	Q99871
9606.ENSP00000414237	Q9H0H0
9606.ENSP00000440005	P84077
9606.ENSP00000375921	P23760
9606.ENSP00000363970	Q9H492
9606.ENSP00000356381	O75449
9606.ENSP00000360215	Q9H171
9606.ENSP00000258201	Q9Y613
9606.ENSP00000394417	Q15014
9606.ENSP00000263087	P38570
9606.ENSP00000356584	Q8NFQ8
9606.ENSP00000363993	P28065
9606.ENSP00000276659	Q6UXX9
9606.ENSP00000322460	Q8IWT1
9606.ENSP00000319240	Q96A72
9606.ENSP00000258484	Q52LR7
9606.ENSP00000251775	O95219
9606.ENSP00000350071	Q13033
9606.ENSP00000419665	Q04837
9606.ENSP00000215637	Q13477
9606.ENSP00000355777	Q9H3P7
9606.ENSP00000331544	P23142
9606.ENSP00000371341	Q07912
9606.ENSP00000346130	Q8NHG7
9606.ENSP00000465099	O15446
9606.ENSP00000361965	P00813
9606.ENSP00000299001	Q7Z3Z4
9606.ENSP00000319169	O14744
9606.ENSP00000209884	Q9Y2M5
9606.ENSP00000280357	Q14116
9606.ENSP00000264731	Q9H3D4
9606.ENSP00000255465	P78396
9606.ENSP00000296795	O15455
9606.ENSP00000367851	P04839
9606.ENSP00000265565	Q12770
9606.ENSP00000370896	Q4ZG55
9606.ENSP00000356906	O14796
9606.ENSP00000465356	P02654
9606.ENSP00000478783	O94822
9606.ENSP00000307305	Q9NX09
9606.ENSP00000312185	Q92556
9606.ENSP00000260810	Q92547
9606.ENSP00000298527	Q9P126
9606.ENSP00000264499	Q8IWZ6
9606.ENSP00000432568	O15020
9606.ENSP00000409346	Q9NSE2
9606.ENSP00000355751	P35442
9606.ENSP00000320291	Q9BXW6
9606.ENSP00000333277	Q71DI3
9606.ENSP00000384290	Q8WVS4
9606.ENSP00000266987	Q15633
9606.ENSP00000379869	Q8TE02
9606.ENSP00000354927	Q99759
9606.ENSP00000379350	P05556
9606.ENSP00000482620	Q86YS3
9606.ENSP00000228682	P08151
9606.ENSP00000297185	P38646
9606.ENSP00000221561	Q08117
9606.ENSP00000282111	Q9HCS4
9606.ENSP00000358335	O43318
9606.ENSP00000261499	Q9UPM9
9606.ENSP00000346120	Q9NR30
9606.ENSP00000271636	Q9P2M7
9606.ENSP00000305699	Q86VS8
9606.ENSP00000403397	Q8IUH5
9606.ENSP00000284719	Q9NTK5
9606.ENSP00000336528	O75469
9606.ENSP00000449328	P05388
9606.ENSP00000369981	Q99962
9606.ENSP00000240316	P38432
9606.ENSP00000447730	P08962
9606.ENSP00000320359	Q9H7X7
9606.ENSP00000332879	O43155
9606.ENSP00000253861	Q96A65
9606.ENSP00000309968	P78536
9606.ENSP00000216038	Q9Y3I0
9606.ENSP00000264552	Q16763
9606.ENSP00000391088	Q8N2C7
9606.ENSP00000334008	Q9NVD7
9606.ENSP00000356969	P02652
9606.ENSP00000256001	Q9P1U1
9606.ENSP00000386156	Q9BRP8
9606.ENSP00000478501	Q9UM13
9606.ENSP00000405573	P06744
9606.ENSP00000335614	O75145
9606.ENSP00000409007	P39905
9606.ENSP00000261866	Q96JI7
9606.ENSP00000455064	Q92536
9606.ENSP00000336790	P18848
9606.ENSP00000262319	Q9Y4R8
9606.ENSP00000369318	O94955
9606.ENSP00000362018	Q92674
9606.ENSP00000312741	Q96RR4
9606.ENSP00000280557	O43583
9606.ENSP00000388510	P13631
9606.ENSP00000173898	Q12816
9606.ENSP00000364794	P41252
9606.ENSP00000275517	Q96FF9
9606.ENSP00000311344	P30154
9606.ENSP00000313681	Q9NYA1
9606.ENSP00000332737	Q6ZN44
9606.ENSP00000248594	Q05209
9606.ENSP00000364361	Q9NYL2
9606.ENSP00000255409	P36222
9606.ENSP00000305288	Q8NFZ4
9606.ENSP00000379047	Q96ER9
9606.ENSP00000265310	Q9NQA5
9606.ENSP00000260746	P36405
9606.ENSP00000381382	P15884
9606.ENSP00000261879	Q8WW43
9606.ENSP00000357301	Q8TDU9
9606.ENSP00000370698	P40189
9606.ENSP00000244426	Q9UK97
9606.ENSP00000333934	Q7Z4G4
9606.ENSP00000384048	Q6ZW49
9606.ENSP00000274376	P20936
9606.ENSP00000424544	Q13454
9606.ENSP00000335055	Q9UPY6
9606.ENSP00000368799	Q86V97
9606.ENSP00000296575	Q96QV1
9606.ENSP00000327191	Q92526
9606.ENSP00000294179	Q13190
9606.ENSP00000380349	P20807
9606.ENSP00000273550	P02794
9606.ENSP00000327336	P21810
9606.ENSP00000420213	O75369
9606.ENSP00000295702	P43308
9606.ENSP00000359532	P30989
9606.ENSP00000298910	Q5S007
9606.ENSP00000369154	O15198
9606.ENSP00000376753	O14908
9606.ENSP00000403400	Q9ULG6
9606.ENSP00000337623	Q5TBB1
9606.ENSP00000380598	Q8TDH9
9606.ENSP00000354207	Q16288
9606.ENSP00000362195	Q99062
9606.ENSP00000293190	Q14957
9606.ENSP00000385385	Q15084
9606.ENSP00000262027	P56192
9606.ENSP00000300651	Q15648
9606.ENSP00000429824	Q14677
9606.ENSP00000437073	Q92614
9606.ENSP00000257430	P25054
9606.ENSP00000367938	O14548
9606.ENSP00000327513	P09603
9606.ENSP00000359292	Q8IX21
9606.ENSP00000371308	Q9HC77
9606.ENSP00000261584	Q86YC2
9606.ENSP00000364448	Q9H1J1
9606.ENSP00000402584	Q8NFP4
9606.ENSP00000307181	Q9BTL3
9606.ENSP00000338173	Q8TB72
9606.ENSP00000398890	P28068
9606.ENSP00000316589	Q6VN20
9606.ENSP00000415822	P0C7T5
9606.ENSP00000343636	Q6UXV0
9606.ENSP00000284727	P48201
9606.ENSP00000264436	P35612
9606.ENSP00000286186	Q92851
9606.ENSP00000463784	P61254
9606.ENSP00000262710	Q9UKV3
9606.ENSP00000261015	Q9GZL7
9606.ENSP00000440864	P22736
9606.ENSP00000384084	O60941
9606.ENSP00000348461	P63000
9606.ENSP00000419446	Q13443
9606.ENSP00000354476	Q12772
9606.ENSP00000303427	Q29RF7
9606.ENSP00000281142	Q96NL6
9606.ENSP00000334100	Q9UPT5
9606.ENSP00000452786	P05106
9606.ENSP00000377148	O43747
9606.ENSP00000383690	O00187
9606.ENSP00000216452	Q14442
9606.ENSP00000312709	Q15545
9606.ENSP00000228837	P10767
9606.ENSP00000454071	P01130
9606.ENSP00000484431	P09326
9606.ENSP00000204679	Q9UJJ9
9606.ENSP00000206542	Q9NPF4
9606.ENSP00000416996	O00590
9606.ENSP00000225174	P30405
9606.ENSP00000256707	Q9ULH0
9606.ENSP00000331983	Q5VZK9
9606.ENSP00000339404	Q8N9N2
9606.ENSP00000401197	O94966
9606.ENSP00000368144	Q6MZQ0
9606.ENSP00000203407	P31930
9606.ENSP00000428426	P23193
9606.ENSP00000427279	P19875
9606.ENSP00000304941	Q96GX1
9606.ENSP00000237172	Q7Z7B0
9606.ENSP00000319597	O75971
9606.ENSP00000344411	Q7RTX0
9606.ENSP00000256079	O15397
9606.ENSP00000381070	O14733
9606.ENSP00000244336	P31997
9606.ENSP00000278935	Q9UPV0
9606.ENSP00000482304	Q12836
9606.ENSP00000360181	O60880
9606.ENSP00000220812	Q9UBT3
9606.ENSP00000378725	Q86UP2
9606.ENSP00000398597	Q5RKV6
9606.ENSP00000408526	P29218
9606.ENSP00000268057	Q96RK4
9606.ENSP00000307567	P47897
9606.ENSP00000301459	Q8IZ40
9606.ENSP00000303511	Q13608
9606.ENSP00000359321	Q9Y483
9606.ENSP00000416959	P62995
9606.ENSP00000217169	Q96CA5
9606.ENSP00000442770	Q9UHW5
9606.ENSP00000376855	Q8N608
9606.ENSP00000315693	Q9Y3D7
9606.ENSP00000227868	O00330
9606.ENSP00000348056	P63279
9606.ENSP00000260010	O60603
9606.ENSP00000367433	Q9UKB5
9606.ENSP00000243903	Q9H9F9
9606.ENSP00000346001	P39023
9606.ENSP00000415243	P12757
9606.ENSP00000418563	O15042
9606.ENSP00000444810	Q13451
9606.ENSP00000370115	P30740
9606.ENSP00000363055	O95229
9606.ENSP00000370719	Q15811
9606.ENSP00000262133	Q08999
9606.ENSP00000358716	Q9UHI6
9606.ENSP00000312107	P68543
9606.ENSP00000308782	Q9HCN6
9606.ENSP00000274547	P47870
9606.ENSP00000284274	Q96BN8
9606.ENSP00000278193	Q9NUP9
9606.ENSP00000359025	O00186
9606.ENSP00000391249	Q9UHD8
9606.ENSP00000296679	Q9HAD4
9606.ENSP00000217515	O43396
9606.ENSP00000399797	Q9HCE1
9606.ENSP00000367265	Q07065
9606.ENSP00000434034	Q9ULV1
9606.ENSP00000290246	Q96JJ3
9606.ENSP00000358737	P24539
9606.ENSP00000441858	Q8TDJ6
9606.ENSP00000263681	Q15054
9606.ENSP00000351141	Q15007
9606.ENSP00000297581	Q9H295
9606.ENSP00000330959	P27930
9606.ENSP00000358983	Q00653
9606.ENSP00000262158	O15105
9606.ENSP00000378557	Q9Y4D1
9606.ENSP00000296280	F8W876
9606.ENSP00000227348	O95727
9606.ENSP00000329933	Q96QT6
9606.ENSP00000330393	P48357
9606.ENSP00000346986	Q9BTA9
9606.ENSP00000483117	Q96AP0
9606.ENSP00000406970	Q8IWV1
9606.ENSP00000369545	Q9BQ15
9606.ENSP00000254691	Q9BX69
9606.ENSP00000233336	Q8NG68
9606.ENSP00000358238	P48165
9606.ENSP00000357979	Q9Y466
9606.ENSP00000259469	P42766
9606.ENSP00000428994	P42261
9606.ENSP00000428223	Q9UNX3
9606.ENSP00000380460	Q9Y263
9606.ENSP00000371471	Q8WXG1
9606.ENSP00000356395	Q02985
9606.ENSP00000365962	Q3MII6
9606.ENSP00000376792	Q96AJ9
9606.ENSP00000347244	Q9NZM3
9606.ENSP00000375063	P59047
9606.ENSP00000356790	P05026
9606.ENSP00000468348	P52564
9606.ENSP00000265164	P55212
9606.ENSP00000219252	P19387
9606.ENSP00000321449	Q9Y3A4
9606.ENSP00000357470	P08887
9606.ENSP00000263354	P54920
9606.ENSP00000388638	Q96I25
9606.ENSP00000413606	Q15833
9606.ENSP00000221543	Q9HA65
9606.ENSP00000221930	P01137
9606.ENSP00000359719	P22694
9606.ENSP00000302478	P0DPB6
9606.ENSP00000346240	Q9UK22
9606.ENSP00000230085	O60493
9606.ENSP00000304903	O95400
9606.ENSP00000355511	P26374
9606.ENSP00000358155	Q6FI13
9606.ENSP00000281928	Q71F56
9606.ENSP00000367299	Q86VN1
9606.ENSP00000288828	Q9Y4P8
9606.ENSP00000358151	Q16778
9606.ENSP00000389913	Q9Y4G2
9606.ENSP00000354982	P00414
9606.ENSP00000306099	P02675
9606.ENSP00000392812	Q8WYR1
9606.ENSP00000361009	Q8TCU6
9606.ENSP00000365272	Q15700
9606.ENSP00000477907	Q99879
9606.ENSP00000249396	Q8IXJ6
9606.ENSP00000296782	Q6R327
9606.ENSP00000318641	Q68E01
9606.ENSP00000483236	P61962
9606.ENSP00000344635	P51959
9606.ENSP00000310596	O15116
9606.ENSP00000303147	P31153
9606.ENSP00000287139	Q96S42
9606.ENSP00000255120	P49321
9606.ENSP00000325589	Q14761
9606.ENSP00000355599	Q99598
9606.ENSP00000347464	Q14161
9606.ENSP00000290277	P10398
9606.ENSP00000264637	P10827
9606.ENSP00000354837	Q92974
9606.ENSP00000321326	P25116
9606.ENSP00000259021	O95251
9606.ENSP00000417963	Q14738
9606.ENSP00000387266	Q08AE8
9606.ENSP00000373783	Q9Y4K0
9606.ENSP00000352408	Q9NWV8
9606.ENSP00000002829	Q13275
9606.ENSP00000408979	Q12840
9606.ENSP00000326042	P0DPH7
9606.ENSP00000231454	P05113
9606.ENSP00000378760	Q14764
9606.ENSP00000365130	Q5VYS8
9606.ENSP00000447053	P51148
9606.ENSP00000393241	P62269
9606.ENSP00000357152	P29017
9606.ENSP00000417175	O95292
9606.ENSP00000263925	Q8TBB1
9606.ENSP00000332591	P49146
9606.ENSP00000276689	Q9Y6M9
9606.ENSP00000362183	Q13003
9606.ENSP00000347948	Q92956
9606.ENSP00000166139	O95633
9606.ENSP00000309457	P49754
9606.ENSP00000329684	O43603
9606.ENSP00000386717	P62899
9606.ENSP00000364929	Q9UK53
9606.ENSP00000207549	Q70J99
9606.ENSP00000297044	O43739
9606.ENSP00000262306	Q15370
9606.ENSP00000363081	O94907
9606.ENSP00000314151	P07288
9606.ENSP00000327179	Q969X6
9606.ENSP00000321617	Q9H8Y5
9606.ENSP00000323076	Q9BU61
9606.ENSP00000377867	Q9P289
9606.ENSP00000394720	Q9NPR2
9606.ENSP00000384570	Q9BWT7
9606.ENSP00000356602	Q9NP79
9606.ENSP00000315791	Q12996
9606.ENSP00000335632	Q99653
9606.ENSP00000307786	P99999
9606.ENSP00000365312	Q8IZP0
9606.ENSP00000308897	Q9Y3B7
9606.ENSP00000384957	P03951
9606.ENSP00000367841	P51808
9606.ENSP00000276198	P28335
9606.ENSP00000296215	Q8TAD8
9606.ENSP00000320176	P14317
9606.ENSP00000354952	Q9UQC2
9606.ENSP00000257909	Q12815
9606.ENSP00000359364	Q9BYJ9
9606.ENSP00000261601	P54578
9606.ENSP00000449795	O43715
9606.ENSP00000311005	Q13164
9606.ENSP00000481646	P46783
9606.ENSP00000383911	Q8NBM4
9606.ENSP00000357040	Q9ULK5
9606.ENSP00000261023	P06756
9606.ENSP00000256644	O43504
9606.ENSP00000262193	P20618
9606.ENSP00000263686	P16109
9606.ENSP00000352252	P68431
9606.ENSP00000392094	Q15029
9606.ENSP00000356540	O75558
9606.ENSP00000384848	P85299
9606.ENSP00000437550	O95835
9606.ENSP00000358563	O60832
9606.ENSP00000252622	Q9UK45
9606.ENSP00000238738	P17081
9606.ENSP00000321971	Q8IXI1
9606.ENSP00000283285	P40200
9606.ENSP00000324806	P49841
9606.ENSP00000323065	Q8TAE8
9606.ENSP00000361120	Q12967
9606.ENSP00000338348	P60604
9606.ENSP00000272418	P82675
9606.ENSP00000360327	Q7L3T8
9606.ENSP00000361818	P31431
9606.ENSP00000301896	H0YEC1
9606.ENSP00000305632	Q9NSB8
9606.ENSP00000343619	P31269
9606.ENSP00000271526	Q92733
9606.ENSP00000445831	Q5QNW6
9606.ENSP00000394624	P35372
9606.ENSP00000371958	P21926
9606.ENSP00000360672	Q9BYG5
9606.ENSP00000360269	P09758
9606.ENSP00000392065	Q96D71
9606.ENSP00000298532	Q5SXM2
9606.ENSP00000313875	P15529
9606.ENSP00000329419	P35606
9606.ENSP00000245543	Q9H6L4
9606.ENSP00000348965	Q14204
9606.ENSP00000253237	Q9BQ67
9606.ENSP00000376808	Q93034
9606.ENSP00000405330	P03372
9606.ENSP00000379144	Q8NDV7
9606.ENSP00000339804	Q969D9
9606.ENSP00000352928	Q9BW61
9606.ENSP00000361721	Q96RK1
9606.ENSP00000330341	O14543
9606.ENSP00000480558	P16619
9606.ENSP00000363068	Q96QU1
9606.ENSP00000291744	Q15485
9606.ENSP00000294339	P17542
9606.ENSP00000376786	Q16633
9606.ENSP00000264246	P33681
9606.ENSP00000304336	Q8WXC3
9606.ENSP00000364519	Q14186
9606.ENSP00000297540	Q9H814
9606.ENSP00000380466	Q16540
9606.ENSP00000350378	Q7Z5G4
9606.ENSP00000262455	Q9BS26
9606.ENSP00000326630	Q8IX07
9606.ENSP00000307046	P34741
9606.ENSP00000268766	Q86SG6
9606.ENSP00000373854	Q13349
9606.ENSP00000262965	P15923
9606.ENSP00000355672	Q5T440
9606.ENSP00000379904	P10828
9606.ENSP00000382684	Q8TCY5
9606.ENSP00000417138	P55058
9606.ENSP00000376436	P14921
9606.ENSP00000385470	Q9UNG2
9606.ENSP00000348849	P62854
9606.ENSP00000372295	P29033
9606.ENSP00000398880	Q9NYV4
9606.ENSP00000442795	Q14896
9606.ENSP00000265562	Q9H3S7
9606.ENSP00000254193	P09661
9606.ENSP00000284981	P05067
9606.ENSP00000215570	Q9Y5L4
9606.ENSP00000356320	Q9BZM5
9606.ENSP00000235382	P41220
9606.ENSP00000386759	Q9BYW2
9606.ENSP00000451575	Q96Q27
9606.ENSP00000480043	P49767
9606.ENSP00000358921	P61163
9606.ENSP00000220913	Q9NRG0
9606.ENSP00000250615	Q16613
9606.ENSP00000377372	P17677
9606.ENSP00000361458	Q99576
9606.ENSP00000314193	Q8IWA0
9606.ENSP00000278407	P05155
9606.ENSP00000369162	Q9BRS2
9606.ENSP00000385158	Q3B820
9606.ENSP00000353654	P08572
9606.ENSP00000157812	P43686
9606.ENSP00000347915	Q86WT1
9606.ENSP00000365198	Q674X7
9606.ENSP00000364801	P0DMV8
9606.ENSP00000347232	P54132
9606.ENSP00000263857	O95602
9606.ENSP00000338171	Q86WV1
9606.ENSP00000270722	Q9HAZ2
9606.ENSP00000349723	Q9C0K0
9606.ENSP00000389649	P18859
9606.ENSP00000233954	Q01638
9606.ENSP00000349320	P54289
9606.ENSP00000224950	Q9H668
9606.ENSP00000362807	Q9UBV8
9606.ENSP00000372689	Q8WVM7
9606.ENSP00000380659	Q9NRA8
9606.ENSP00000199764	P40199
9606.ENSP00000348753	Q7Z698
9606.ENSP00000258080	O43464
9606.ENSP00000354560	Q92845
9606.ENSP00000280612	Q9UPY5
9606.ENSP00000479861	Q15019
9606.ENSP00000418695	C9J0E9
9606.ENSP00000355523	P49802
9606.ENSP00000430690	Q07654
9606.ENSP00000372210	Q9NYM9
9606.ENSP00000223641	P60468
9606.ENSP00000318803	Q9HCH5
9606.ENSP00000333821	Q01718
9606.ENSP00000265728	Q9UBU7
9606.ENSP00000259467	Q13371
9606.ENSP00000265351	Q9HAV4
9606.ENSP00000366237	O00273
9606.ENSP00000333685	Q15759
9606.ENSP00000310670	Q8N163
9606.ENSP00000323421	Q14683
9606.ENSP00000210313	Q16401
9606.ENSP00000355046	P03891
9606.ENSP00000431284	O60711
9606.ENSP00000216484	O15270
9606.ENSP00000401470	P46060
9606.ENSP00000341885	P15880
9606.ENSP00000478942	O00322
9606.ENSP00000250617	Q15052
9606.ENSP00000484732	A6NHX0
9606.ENSP00000363591	Q16611
9606.ENSP00000363944	Q9Y4W2
9606.ENSP00000378414	Q96GM5
9606.ENSP00000369889	P02458
9606.ENSP00000247668	Q12933
9606.ENSP00000263073	Q86US8
9606.ENSP00000250457	Q9H6Z9
9606.ENSP00000479844	Q8TDF6
9606.ENSP00000387362	Q14139
9606.ENSP00000328547	Q9UBC3
9606.ENSP00000361287	Q00266
9606.ENSP00000345656	J3QKM9
9606.ENSP00000264444	Q05195
9606.ENSP00000376132	O43795
9606.ENSP00000354223	Q9Y5U8
9606.ENSP00000302625	Q9Y2T1
9606.ENSP00000366306	O43597
9606.ENSP00000348769	O95376
9606.ENSP00000477725	Q14678
9606.ENSP00000319591	Q9UK17
9606.ENSP00000256996	Q92466
9606.ENSP00000281623	Q9UKT5
9606.ENSP00000263650	Q9H0X9
9606.ENSP00000429065	Q9NV88
9606.ENSP00000221496	P03971
9606.ENSP00000308583	Q8N2Z9
9606.ENSP00000246166	P49356
9606.ENSP00000286371	P54709
9606.ENSP00000345412	Q8N684
9606.ENSP00000469468	Q9Y4Z0
9606.ENSP00000362413	P00558
9606.ENSP00000450832	O43166
9606.ENSP00000353741	P62495
9606.ENSP00000282561	P17302
9606.ENSP00000340691	Q13541
9606.ENSP00000268058	P29590
9606.ENSP00000369390	O94921
9606.ENSP00000264824	P12980
9606.ENSP00000281453	Q71F23
9606.ENSP00000390011	Q7Z7A3
9606.ENSP00000355279	Q9UIV1
9606.ENSP00000254286	Q9NZ32
9606.ENSP00000482259	P13236
9606.ENSP00000370808	P12236
9606.ENSP00000302150	P01236
9606.ENSP00000465500	Q9Y6Q6
9606.ENSP00000373312	P55735
9606.ENSP00000306080	Q9HC36
9606.ENSP00000369581	P01574
9606.ENSP00000231751	P02788
9606.ENSP00000264071	P04350
9606.ENSP00000365663	P01160
9606.ENSP00000299663	Q9ULY5
9606.ENSP00000406229	Q14517
9606.ENSP00000019103	P47872
9606.ENSP00000290573	P52789
9606.ENSP00000410294	P21802
9606.ENSP00000261707	P31645
9606.ENSP00000454836	Q12788
9606.ENSP00000376297	P63167
9606.ENSP00000386181	Q8N4P2
9606.ENSP00000347433	Q8J025
9606.ENSP00000381773	O95985
9606.ENSP00000360162	P28370
9606.ENSP00000225842	P22362
9606.ENSP00000282058	Q96CS2
9606.ENSP00000340271	Q5VWG9
9606.ENSP00000356848	Q96BN2
9606.ENSP00000306614	O43447
9606.ENSP00000442424	Q9GZX6
9606.ENSP00000379140	P48061
9606.ENSP00000314608	Q9NVR0
9606.ENSP00000356785	Q9Y5B8
9606.ENSP00000044462	P25789
9606.ENSP00000284322	Q7Z7G0
9606.ENSP00000264933	O75340
9606.ENSP00000354762	Q9Y2R0
9606.ENSP00000361048	Q96LR2
9606.ENSP00000450909	Q9GZT3
9606.ENSP00000357869	Q9UBF8
9606.ENSP00000314299	Q03591
9606.ENSP00000379721	P40818
9606.ENSP00000480763	P54756
9606.ENSP00000357459	P55265
9606.ENSP00000382800	Q13761
9606.ENSP00000426909	P63244
9606.ENSP00000376458	Q4KMG0
9606.ENSP00000261396	Q8WUM0
9606.ENSP00000331867	Q7RTX1
9606.ENSP00000365694	Q96QC0
9606.ENSP00000368565	Q99543
9606.ENSP00000423563	O75367
9606.ENSP00000282249	P33402
9606.ENSP00000244709	Q9NP99
9606.ENSP00000387699	P16220
9606.ENSP00000295756	Q6PIZ9
9606.ENSP00000253413	P36543
9606.ENSP00000398698	P01375
9606.ENSP00000356399	P08603
9606.ENSP00000324105	P13929
9606.ENSP00000481570	P21580
9606.ENSP00000261464	O00463
9606.ENSP00000300305	Q01196
9606.ENSP00000266088	P13866
9606.ENSP00000337180	O14977
9606.ENSP00000376330	O43516
9606.ENSP00000368538	P43489
9606.ENSP00000225504	P63272
9606.ENSP00000361423	P00519
9606.ENSP00000359305	Q9Y3A6
9606.ENSP00000375730	P40429
9606.ENSP00000262948	P36507
9606.ENSP00000271628	Q15427
9606.ENSP00000228506	Q14165
9606.ENSP00000265651	Q9UK99
9606.ENSP00000265729	P30626
9606.ENSP00000316578	Q15022
9606.ENSP00000358059	Q8WWV3
9606.ENSP00000340330	Q92993
9606.ENSP00000356256	Q99595
9606.ENSP00000299314	Q3T906
9606.ENSP00000355140	P14653
9606.ENSP00000322181	O94777
9606.ENSP00000258729	O00425
9606.ENSP00000363371	Q969H4
9606.ENSP00000367705	Q6W2J9
9606.ENSP00000420127	P51151
9606.ENSP00000263657	Q9NRX1
9606.ENSP00000367104	Q12934
9606.ENSP00000371469	O60671
9606.ENSP00000355991	Q9Y228
9606.ENSP00000244050	O95863
9606.ENSP00000385450	Q96QZ7
9606.ENSP00000261070	Q14061
9606.ENSP00000323280	P30203
9606.ENSP00000304945	Q8WZ75
9606.ENSP00000478754	P26196
9606.ENSP00000259400	P56962
9606.ENSP00000345752	Q13614
9606.ENSP00000219313	P51665
9606.ENSP00000319060	Q13555
9606.ENSP00000376472	P46977
9606.ENSP00000231509	P04150
9606.ENSP00000242285	P09496
9606.ENSP00000362991	Q9H6D3
9606.ENSP00000310263	Q9UBN6
9606.ENSP00000269209	Q9H706
9606.ENSP00000469240	O43633
9606.ENSP00000375795	Q13007
9606.ENSP00000358918	Q9UMX1
9606.ENSP00000256637	Q99523
9606.ENSP00000352738	Q9UN86
9606.ENSP00000296181	P18084
9606.ENSP00000290650	Q8IWV7
9606.ENSP00000260210	Q9BRD0
9606.ENSP00000221476	P06732
9606.ENSP00000368278	Q9NZN1
9606.ENSP00000276603	P54274
9606.ENSP00000361473	O75164
9606.ENSP00000362824	O15294
9606.ENSP00000262584	P62917
9606.ENSP00000223023	O00401
9606.ENSP00000257118	Q8IXK0
9606.ENSP00000448598	Q8IXM2
9606.ENSP00000477999	P29475
9606.ENSP00000306100	P19021
9606.ENSP00000440689	P05181
9606.ENSP00000280481	Q5SZK8
9606.ENSP00000279146	O00170
9606.ENSP00000321455	Q86XE3
9606.ENSP00000198767	Q9NYV6
9606.ENSP00000290921	Q13363
9606.ENSP00000369134	P08559
9606.ENSP00000314030	O60884
9606.ENSP00000422626	Q4G0J3
9606.ENSP00000378089	P08949
9606.ENSP00000367064	O60494
9606.ENSP00000474823	A0A140T963
9606.ENSP00000264664	O15520
9606.ENSP00000398273	P35711
9606.ENSP00000231790	P40692
9606.ENSP00000420714	O60783
9606.ENSP00000416097	Q08379
9606.ENSP00000370968	Q9BQG0
9606.ENSP00000347834	Q9UKT7
9606.ENSP00000437271	Q9C0C2
9606.ENSP00000265753	Q15056
9606.ENSP00000256969	Q9BT56
9606.ENSP00000306625	J3QR12
9606.ENSP00000399403	Q9H0B6
9606.ENSP00000246672	P20393
9606.ENSP00000391826	P01344
9606.ENSP00000355718	O00548
9606.ENSP00000263556	P13674
9606.ENSP00000299198	P12277
9606.ENSP00000345571	Q01094
9606.ENSP00000357442	Q9BRQ0
9606.ENSP00000387334	Q86UT6
9606.ENSP00000364737	Q6IPU0
9606.ENSP00000254998	Q9UKK6
9606.ENSP00000394794	Q12923
9606.ENSP00000303373	P04908
9606.ENSP00000375857	Q32MZ4
9606.ENSP00000380247	P35367
9606.ENSP00000478212	Q92667
9606.ENSP00000413156	Q9BZG1
9606.ENSP00000346298	Q9NP91
9606.ENSP00000271277	Q9P2B4
9606.ENSP00000438388	Q12756
9606.ENSP00000308022	Q86TJ2
9606.ENSP00000295030	Q92968
9606.ENSP00000311430	P36578
9606.ENSP00000261890	P62491
9606.ENSP00000358490	P06729
9606.ENSP00000261693	Q8WTV0
9606.ENSP00000300107	O76031
9606.ENSP00000355051	Q15543
9606.ENSP00000414906	Q9UJW0
9606.ENSP00000320180	Q02643
9606.ENSP00000427550	Q8TEP8
9606.ENSP00000241125	Q9Y6H8
9606.ENSP00000455785	Q8WZ19
9606.ENSP00000303754	Q08752
9606.ENSP00000026218	Q9BRB3
9606.ENSP00000438399	P53990
9606.ENSP00000302621	P02750
9606.ENSP00000412324	Q13362
9606.ENSP00000363553	Q92633
9606.ENSP00000351327	Q5JQC9
9606.ENSP00000384582	Q8WXG9
9606.ENSP00000292401	P25311
9606.ENSP00000291294	P43119
9606.ENSP00000346032	P07355
9606.ENSP00000386458	O75400
9606.ENSP00000243644	Q9GZX5
9606.ENSP00000413079	Q29983
9606.ENSP00000293379	P08648
9606.ENSP00000310219	P17066
9606.ENSP00000312262	P25098
9606.ENSP00000472469	P62857
9606.ENSP00000377047	P23471
9606.ENSP00000418438	O95167
9606.ENSP00000335371	Q7Z392
9606.ENSP00000357461	P17787
9606.ENSP00000219409	Q99819
9606.ENSP00000259371	Q5VWQ8
9606.ENSP00000394394	Q9UJX3
9606.ENSP00000274712	Q96NC0
9606.ENSP00000240079	Q9Y3C0
9606.ENSP00000365380	Q9BZS1
9606.ENSP00000312082	Q9NR97
9606.ENSP00000478982	P78345
9606.ENSP00000479919	Q9Y371
9606.ENSP00000295225	Q9Y2W7
9606.ENSP00000375711	Q96B36
9606.ENSP00000408411	P13473
9606.ENSP00000265056	P49736
9606.ENSP00000345895	Q9UKX7
9606.ENSP00000442600	Q14118
9606.ENSP00000332049	P42081
9606.ENSP00000346725	O00541
9606.ENSP00000363804	O43474
9606.ENSP00000312455	O15519
9606.ENSP00000373669	Q96GS4
9606.ENSP00000483552	P09958
9606.ENSP00000341083	P20594
9606.ENSP00000265138	Q96B67
9606.ENSP00000299106	Q9BX67
9606.ENSP00000295688	P49368
9606.ENSP00000303276	P10153
9606.ENSP00000410452	P16949
9606.ENSP00000262776	Q08380
9606.ENSP00000308472	O60516
9606.ENSP00000274520	P15248
9606.ENSP00000266674	O75473
